comment_id,note_id,content,content_clean,comment_time,hour,date,weekday,nickname,ip_location,like_count,sub_comment_count,content_length,content_clean_length,is_empty,is_root_comment,has_picture,parent_comment_id
69b405d4000000001d00abfd,69b40469000000001a02f5a0,喜欢可以灌注一下！会长期更新 鸣潮超清混剪 ～,喜欢可以灌注一下！会长期更新 鸣潮超清混剪 ～,2026-03-13 12:40:52,12,2026-03-13,Friday,林烟不是大佬,四川,39,1,23,23,0,1,0,0
69b63b53000000000f019f3b,69b40469000000001a02f5a0,好🉑爱呀 但是我听说鸣潮剧情有点龙傲天 有点纠结要不要入坑,好🉑爱呀 但是我听说鸣潮剧情有点龙傲天 有点纠结要不要入坑,2026-03-15 04:53:41,4,2026-03-15,Sunday,八爪章章,湖南,48,24,29,29,0,1,1,0
69b51f15000000000c03216b,69b40469000000001a02f5a0,太萌了[捂脸R]但是听说鸣潮很多女角色衣服很露，一直在纠结要不要入坑[哭惹R],太萌了但是听说鸣潮很多女角色衣服很露，一直在纠结要不要入坑,2026-03-14 08:40:53,8,2026-03-14,Saturday,小七,湖南,96,20,39,29,0,1,0,0
69bd2f33000000000d034390,69b40469000000001a02f5a0,已经为了此女入坑了 但是我感觉鸣潮的战斗好难[哭惹R][哭惹R],已经为了此女入坑了 但是我感觉鸣潮的战斗好难,2026-03-20 11:27:47,11,2026-03-20,Friday,惊羽弦,浙江,0,0,32,22,0,1,0,0
69b5b6460000000002028932,69b40469000000001a02f5a0,好萌好萌，鸣的建模好好看，但是因为剧情在纠结要不要入坑[叹气R],好萌好萌，鸣的建模好好看，但是因为剧情在纠结要不要入坑,2026-03-14 19:26:01,19,2026-03-14,Saturday,从不早睡（大虾🍤版）,江苏,40,17,32,27,0,1,1,0
69bc44d500000000020360c9,69b40469000000001a02f5a0,萌物[亲一个R],萌物,2026-03-19 18:47:49,18,2026-03-19,Thursday,风月过溏,浙江,0,0,8,2,0,1,0,0
69b65836000000000d034b28,69b40469000000001a02f5a0,看这个视频好心动想入坑，可惜是男性向[哭惹R]要是是大众向的就好了,看这个视频好心动想入坑，可惜是男性向要是是大众向的就好了,2026-03-15 06:56:54,6,2026-03-15,Sunday,嘟ovo,北京,6,9,33,28,0,1,0,0
69bc6f360000000014008a56,69b40469000000001a02f5a0,剪得不错[举手R],剪得不错,2026-03-19 21:48:38,21,2026-03-19,Thursday,小梨的舒适工位日记,广东,0,0,9,4,0,1,0,0
69b4d795000000000d03648b,69b40469000000001a02f5a0,太可爱啦宝宝[黄金薯R],太可爱啦宝宝,2026-03-14 03:35:50,3,2026-03-14,Saturday,不想上早八,江西,63,2,12,6,0,1,1,0
69bbddce0000000015007c39,69b40469000000001a02f5a0,@🆔cn桉妤 @小三 @桉妤 @优雅 这个好萌，我要去玩鸣潮[生气R][生气R],这个好萌，我要去玩鸣潮,2026-03-19 11:28:14,11,2026-03-19,Thursday,Venti重度依赖^,重庆,0,0,40,11,0,1,0,0
